instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
128010500,500041,BANARISUG,BANNARI AMMAN SUGARS,0,,0,0.05,1,EQ,BSE,BSE
128010756,500042,BASF,BASF INDIA,0,,0,0.05,1,EQ,BSE,BSE
128011012,500043,BATAINDIA,BATA INDIA,0,,0,0.05,1,EQ,BSE,BSE
128012292,500048,BEML,BEML,0,,0,0.05,1,EQ,BSE,BSE
128012548,500049,BEL,BHARAT ELECTRONICS,0,,0,0.05,1,EQ,BSE,BSE
128013316,500052,BEPL,BHANSALI ENGINEERING POLYMERS,0,,0,0.01,1,EQ,BSE,BSE
128014852,500058,BIHSPONG,BIHAR SPONGE IRON,0,,0,0.01,1,EQ,BSE,BSE
128015364,500060,BIRLACABLE,BIRLA CABLE,0,,0,0.05,1,EQ,BSE,BSE
128017156,500067,BLUESTARCO,BLUE STAR,0,,0,0.05,1,EQ,BSE,BSE
128017412,500068,DISAQ,DISA INDIA,0,,0,0.05,1,EQ,BSE,BSE
128017668,500069,QUESTCAP,QUEST CAPITAL MARKETS,0,,0,0.05,1,EQ,BSE,BSE
128018948,500074,BPL,BPL,0,,0,0.01,1,EQ,BSE,BSE
128019972,500078,OAL,ORIENTAL AROMATICS,0,,0,0.05,1,EQ,BSE,BSE
128021252,500083,CENTEXT,CENTURY EXTRUSIONS,0,,0,0.01,1,EQ,BSE,BSE
128021508,500084,CESC,CESC,0,,0,0.05,1,EQ,BSE,BSE
128021764,500085,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICAL,0,,0,0.05,1,EQ,BSE,BSE
128022020,500086,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128022276,500087,CIPLA,CIPLA,0,,0,0.05,1,EQ,BSE,BSE
128022788,500089,DICIND,DIC INDIA,0,,0,0.05,1,EQ,BSE,BSE
128023556,500092,CRISIL,CRISIL,0,,0,0.05,1,EQ,BSE,BSE
128023812,500093,CGPOWER,CG POWER AND INDUSTRIAL SOLUTI,0,,0,0.05,1,EQ,BSE,BSE
128024580,500096,DABUR,DABUR INDIA,0,,0,0.05,1,EQ,BSE,BSE
128024836,500097,DALMIASUG,DALMIA BHARAT SUGAR AND INDUST,0,,0,0.05,1,EQ,BSE,BSE
128025860,500101,ARVIND,ARVIND,0,,0,0.05,1,EQ,BSE,BSE
128026372,500103,BHEL,BHARAT HEAVY ELECTRICALS,0,,0,0.05,1,EQ,BSE,BSE
128026628,500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATIO,0,,0,0.05,1,EQ,BSE,BSE
128027140,500106,IFCI,IFCI,0,,0,0.01,1,EQ,BSE,BSE
128027652,500108,MTNL,MAHANAGAR TELEPHONE NIGAM,0,,0,0.01,1,EQ,BSE,BSE
128027908,500109,MRPL,MANGALORE REFINERY & PETROCHEM,0,,0,0.05,1,EQ,BSE,BSE
128028164,500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION,0,,0,0.05,1,EQ,BSE,BSE
128028676,500112,SBIN,STATE BANK OF INDIA,0,,0,0.05,1,EQ,BSE,BSE
128028932,500113,SAIL,STEEL AUTHORITY OF INDIA,0,,0,0.05,1,EQ,BSE,BSE
128029188,500114,TITAN,TITAN COMPANY,0,,0,0.05,1,EQ,BSE,BSE
128029700,500116,IDBI,IDBI BANK,0,,0,0.01,1,EQ,BSE,BSE
128029956,500117,DCW,DCW,0,,0,0.01,1,EQ,BSE,BSE
128030468,500119,DHAMPURSUG,DHAMPUR SUGAR MILLS,0,,0,0.05,1,EQ,BSE,BSE
128030724,500120,DIAMINESQ,DIAMINES & CHEMICALS,0,,0,0.05,1,EQ,BSE,BSE
128031492,500123,ELANTAS,ELANTAS BECK INDIA,0,,0,0.05,1,EQ,BSE,BSE
128031748,500124,DRREDDY,DR.REDDYS LABORATORIES,0,,0,0.05,1,EQ,BSE,BSE
128032004,500125,EIDPARRY,E.I.D.-PARRY (INDIA),0,,0,0.05,1,EQ,BSE,BSE
128032260,500126,PGHL,PROCTER & GAMBLE HEALTH LIMITE,0,,0,0.05,1,EQ,BSE,BSE
128032772,500128,ELECTCAST,ELECTROSTEEL CASTINGS,0,,0,0.05,1,EQ,BSE,BSE
128034052,500133,ESABINDIA,ESAB INDIA,0,,0,0.05,1,EQ,BSE,BSE
128034564,500135,EPL,EPL,0,,0,0.05,1,EQ,BSE,BSE
128034820,500136,ESTER,ESTER INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128036356,500142,FGP,FGP,0,,0,0.01,1,EQ,BSE,BSE
128036612,500143,PHCAP,PH CAPITAL,0,,0,0.05,1,EQ,BSE,BSE
128036868,500144,FINCABLES,FINOLEX CABLES,0,,0,0.05,1,EQ,BSE,BSE
128037636,500147,COCKERILL,JOHN COCKERILL INDIA,0,,0,0.05,1,EQ,BSE,BSE
128037892,500148,UFLEX,UFLEX,0,,0,0.05,1,EQ,BSE,BSE
128038404,500150,FOSECOIND,FOSECO INDIA,0,,0,0.05,1,EQ,BSE,BSE
128039172,500153,GANESHBE,GANESH BENZOPLAST,0,,0,0.05,1,EQ,BSE,BSE
128040708,500159,METROGLOBL,METROGLOBAL,0,,0,0.05,1,EQ,BSE,BSE
128041732,500163,GODFRYPHLP,GODFREY PHILLIPS INDIA,0,,0,0.05,1,EQ,BSE,BSE
128041988,500164,GODREJIND,GODREJ INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128042244,500165,KANSAINER,KANSAI NEROLAC PAINTS,0,,0,0.05,1,EQ,BSE,BSE
128042500,500166,GOODRICKE,GOODRICKE GROUP,0,,0,0.05,1,EQ,BSE,BSE
128043012,500168,GOODYEAR,GOODYEAR INDIA,0,,0,0.05,1,EQ,BSE,BSE
128043524,500170,GTNINDS,GTN INDUSTRIES,0,,0,0.01,1,EQ,BSE,BSE
128043780,500171,GHCL,GHCL,0,,0,0.05,1,EQ,BSE,BSE
128044292,500173,GFLLIMITED,GFL,0,,0,0.01,1,EQ,BSE,BSE
128046084,500180,HDFCBANK,HDFC BANK,0,,0,0.05,1,EQ,BSE,BSE
128046596,500182,HEROMOTOCO,HERO MOTOCORP,0,,0,0.05,1,EQ,BSE,BSE
128046852,500183,HFCL,HFCL,0,,0,0.05,1,EQ,BSE,BSE
128047108,500184,HSCL,HIMADRI SPECIALITY CHEMICAL LT,0,,0,0.05,1,EQ,BSE,BSE
128047364,500185,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,0,,0,0.01,1,EQ,BSE,BSE
128047620,500186,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.L,0,,0,0.05,1,EQ,BSE,BSE
128047876,500187,AGI,AGI GREENPAC,0,,0,0.05,1,EQ,BSE,BSE
128048132,500188,HINDZINC,HINDUSTAN ZINC,0,,0,0.05,1,EQ,BSE,BSE
128048388,500189,NDLVENTURE,NDL VENTURES,0,,0,0.01,1,EQ,BSE,BSE
128049156,500192,PRAGBOS,PRAG BOSIMI SYNTHETICS,0,,0,0.01,1,EQ,BSE,BSE
128050948,500199,IGPL,I G PETROCHEMICALS,0,,0,0.05,1,EQ,BSE,BSE
128051460,500201,INDIAGLYCO,INDIA GLYCOLS,0,,0,0.05,1,EQ,BSE,BSE
128051716,500202,INDLEASE,INDIA LEASE DEVELOPMENT,0,,0,0.01,1,EQ,BSE,BSE
128052740,500206,MARGOFIN,MARGO FINANCE,0,,0,0.01,1,EQ,BSE,BSE
128052996,500207,INDORAMA,INDO RAMA SYNTHETICS (INDIA) L,0,,0,0.01,1,EQ,BSE,BSE
128053508,500209,INFY,INFOSYS,0,,0,0.05,1,EQ,BSE,BSE
128053764,500210,INGERRAND,INGERSOLL-RAND (INDIA),0,,0,0.05,1,EQ,BSE,BSE
128054532,500213,ITHL,INTERNATIONAL TRAVEL HOUSE,0,,0,0.05,1,EQ,BSE,BSE
128054788,500214,IONEXCHANG,ION EXCHANGE (INDIA),0,,0,0.05,1,EQ,BSE,BSE
128055044,500215,ATFL,AGRO TECH FOODS,0,,0,0.05,1,EQ,BSE,BSE
128056068,500219,JISLJALEQS,JAIN IRRIGATION SYSTEMS,0,,0,0.01,1,EQ,BSE,BSE
128056324,500220,JASCH,JASCH INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128058116,500227,JINDALPOLY,JINDAL POLY FILMS,0,,0,0.05,1,EQ,BSE,BSE
128058372,500228,JSWSTEEL,JSW STEEL,0,,0,0.05,1,EQ,BSE,BSE
128059140,500231,UMANGDAIRY,UMANG DAIRIES,0,,0,0.01,1,EQ,BSE,BSE
128059652,500233,KAJARIACER,KAJARIA CERAMICS,0,,0,0.05,1,EQ,BSE,BSE
128059908,500234,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUST,0,,0,0.05,1,EQ,BSE,BSE
128060164,500235,KSL,KALYANI STEELS,0,,0,0.05,1,EQ,BSE,BSE
128060420,500236,KANELIND,KANEL INDUSTRIES,0,,0,0.01,1,EQ,BSE,BSE
128060932,500238,WHIRLPOOL,WHIRLPOOL OF INDIA,0,,0,0.05,1,EQ,BSE,BSE
128061188,500239,KGDENIM,KG DENIM,0,,0,0.01,1,EQ,BSE,BSE
128061444,500240,KINETICENG,KINETIC ENGINEERING,0,,0,0.05,1,EQ,BSE,BSE
128061700,500241,KIRLOSBROS,KIRLOSKAR BROTHERS,0,,0,0.05,1,EQ,BSE,BSE
128062212,500243,KIRLOSIND,KIRLOSKAR INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128062724,500245,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES L,0,,0,0.05,1,EQ,BSE,BSE
128062980,500246,ENVAIREL,ENVAIR ELECTRODYNE,0,,0,0.05,1,EQ,BSE,BSE
128063236,500247,KOTAKBANK,KOTAK MAHINDRA BANK,0,,0,0.05,1,EQ,BSE,BSE
128063492,500248,KRIFILIND,KRISHNA FILAMENT INDUSTRIES LI,0,,0,0.01,1,EQ,BSE,BSE
128063748,500249,KSB,KSB,0,,0,0.05,1,EQ,BSE,BSE
128064004,500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,0,,0,0.05,1,EQ,BSE,BSE
128064260,500251,TRENT,TRENT,0,,0,0.05,1,EQ,BSE,BSE
128064516,500252,LAXMIMACH,LAKSHMI MACHINE WORKS,0,,0,0.05,1,EQ,BSE,BSE
128064772,500253,LICHSGFIN,LIC HOUSING FINANCE,0,,0,0.05,1,EQ,BSE,BSE
128065796,500257,LUPIN,LUPIN,0,,0,0.05,1,EQ,BSE,BSE
128066308,500259,LYKALABS,LYKA LABS,0,,0,0.05,1,EQ,BSE,BSE
128066564,500260,RAMCOCEM,THE RAMCO CEMENTS,0,,0,0.05,1,EQ,BSE,BSE
128067076,500262,HYBRIDFIN,HYBRID FINANCIAL SERVICES LIMI,0,,0,0.01,1,EQ,BSE,BSE
128067588,500264,MAFATIND,MAFATLAL INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128067844,500265,MAHSEAMLES,MAHARASHTRA SEAMLESS,0,,0,0.05,1,EQ,BSE,BSE
128068100,500266,MAHSCOOTER,MAHARASHTRA SCOOTERS,0,,0,0.05,1,EQ,BSE,BSE
128068356,500267,MAJESAUT,MAJESTIC AUTO,0,,0,0.05,1,EQ,BSE,BSE
128068612,500268,MANALIPETC,MANALI PETROCHEMICAL,0,,0,0.01,1,EQ,BSE,BSE
128069124,500270,BARODARY,BARODA RAYON CORPORATION,0,,0,0.05,1,EQ,BSE,BSE
